treated,age,education,black,hispanic,married,re78
FALSE,47,12,FALSE,FALSE,FALSE,0
FALSE,50,12,TRUE,FALSE,TRUE,0
FALSE,44,12,FALSE,FALSE,FALSE,0
FALSE,28,12,TRUE,FALSE,TRUE,0
FALSE,54,12,FALSE,FALSE,TRUE,0
FALSE,55,12,FALSE,TRUE,TRUE,0
FALSE,47,12,FALSE,FALSE,TRUE,0
FALSE,25,12,TRUE,FALSE,FALSE,0
FALSE,44,12,FALSE,FALSE,TRUE,0
FALSE,50,12,TRUE,FALSE,TRUE,0
FALSE,23,12,TRUE,FALSE,FALSE,4.728725
FALSE,49,14,FALSE,FALSE,TRUE,0
FALSE,55,14,FALSE,FALSE,TRUE,0
FALSE,34,14,TRUE,FALSE,TRUE,0
FALSE,34,16,FALSE,FALSE,TRUE,11.821813
FALSE,55,13,FALSE,TRUE,TRUE,0
FALSE,52,12,FALSE,FALSE,TRUE,0
FALSE,52,15,FALSE,FALSE,TRUE,0
FALSE,30,16,FALSE,FALSE,TRUE,0
FALSE,21,12,FALSE,FALSE,FALSE,0
FALSE,30,17,FALSE,FALSE,FALSE,0
FALSE,44,12,FALSE,FALSE,TRUE,0
FALSE,46,12,FALSE,FALSE,FALSE,0
FALSE,53,17,FALSE,FALSE,TRUE,0
FALSE,26,16,FALSE,FALSE,FALSE,9.0141321
FALSE,49,12,FALSE,FALSE,TRUE,13.299539
FALSE,39,15,FALSE,FALSE,TRUE,1.9210445
FALSE,26,17,FALSE,FALSE,TRUE,11.821813
FALSE,32,16,FALSE,FALSE,TRUE,0
FALSE,34,12,FALSE,FALSE,TRUE,0
FALSE,31,14,FALSE,FALSE,TRUE,0
FALSE,39,17,FALSE,TRUE,TRUE,8.8663594
FALSE,40,17,FALSE,FALSE,TRUE,0
FALSE,31,12,FALSE,FALSE,TRUE,0
FALSE,27,13,FALSE,FALSE,TRUE,28.076805
FALSE,48,12,FALSE,FALSE,TRUE,0
FALSE,41,13,FALSE,FALSE,TRUE,0
FALSE,26,14,FALSE,FALSE,FALSE,0
FALSE,50,17,FALSE,FALSE,FALSE,0
FALSE,48,12,FALSE,FALSE,TRUE,12.930108
FALSE,45,16,FALSE,FALSE,TRUE,0
FALSE,37,13,FALSE,FALSE,TRUE,0
FALSE,33,12,FALSE,FALSE,TRUE,0
FALSE,31,12,FALSE,FALSE,TRUE,0
FALSE,36,12,TRUE,FALSE,TRUE,17.732719
FALSE,44,13,FALSE,FALSE,TRUE,0
FALSE,28,17,FALSE,FALSE,TRUE,0
FALSE,30,17,FALSE,FALSE,TRUE,0
FALSE,42,16,FALSE,FALSE,TRUE,0
FALSE,30,12,FALSE,FALSE,TRUE,0
FALSE,27,16,FALSE,FALSE,TRUE,0
FALSE,37,12,FALSE,FALSE,TRUE,0
FALSE,37,12,FALSE,FALSE,TRUE,0
FALSE,45,12,FALSE,FALSE,TRUE,22.165899
FALSE,35,16,FALSE,FALSE,TRUE,0
FALSE,37,17,FALSE,FALSE,TRUE,66.497696
FALSE,27,17,FALSE,FALSE,TRUE,0
FALSE,47,14,FALSE,FALSE,TRUE,0
FALSE,48,12,FALSE,FALSE,TRUE,0
FALSE,42,12,FALSE,FALSE,TRUE,0
FALSE,43,12,FALSE,FALSE,TRUE,0
FALSE,46,12,FALSE,FALSE,TRUE,0
FALSE,46,12,FALSE,FALSE,TRUE,0
FALSE,46,12,FALSE,FALSE,TRUE,0
FALSE,29,16,FALSE,FALSE,TRUE,8.3964424
FALSE,39,13,FALSE,FALSE,TRUE,0
FALSE,32,12,FALSE,FALSE,TRUE,0
FALSE,48,16,FALSE,FALSE,TRUE,0
FALSE,48,16,FALSE,FALSE,TRUE,0
FALSE,41,13,FALSE,FALSE,TRUE,0
FALSE,42,13,FALSE,FALSE,TRUE,0
FALSE,42,13,FALSE,FALSE,TRUE,0
FALSE,42,13,FALSE,FALSE,TRUE,0
FALSE,54,13,FALSE,FALSE,TRUE,0
FALSE,29,14,FALSE,FALSE,TRUE,0
FALSE,54,12,FALSE,FALSE,TRUE,0
FALSE,54,12,FALSE,FALSE,TRUE,0
FALSE,26,14,FALSE,FALSE,TRUE,0
FALSE,43,17,FALSE,FALSE,TRUE,36.943164
FALSE,54,12,FALSE,FALSE,TRUE,0
FALSE,37,12,FALSE,FALSE,TRUE,0
FALSE,54,16,FALSE,FALSE,TRUE,0
FALSE,48,17,FALSE,FALSE,TRUE,0
FALSE,44,12,FALSE,FALSE,TRUE,0
